!!SBtab DocumentName='E. coli central carbon metabolism - ECM result' TableType='Quantity' TableName='Predicted concentations' Document='ECM metabolic state' Unit='mM' SBtabVersion='1.0'						
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	data	fixed	initial	emc3sp
concentration	_S__Malate	C00149	1.69	NaN	0.00752	0.396
Gibbs energy of reaction	ICD_R00709	R00709	28.9	32.1		
Gibbs energy of reaction	KGD_R08549	R08549	7.33	47.2		
Gibbs energy of reaction	SCS_R00405	R00405	58.6	5.04		
Gibbs energy of reaction	SDH_R02164	R02164	22.1	20.1		
Gibbs energy of reaction	FUM_R01082	R01082	20.4	1.37		
Gibbs energy of reaction	MDH_R00342	R00342	0.235	0.352		
Gibbs energy of reaction	PPC_R00345	R00345	33.9	31		
%						
!!SBtab DocumentName='E. coli central carbon metabolism - ECM result' TableType='Quantity' TableName='Predicted enzyme capacities' Document='ECM metabolic state' Unit='kJ/mol' SBtabVersion='1.0'						
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	!Value			
enzyme capacity	PTS_RPTSsy	RPTSsy	0.0145			
enzyme capacity	PGI_R02740	R02740	0.0102			
enzyme capacity	PFK_R04779	R04779	0.00119			
enzyme capacity	ALD_R01070	R01070	0.0142			
enzyme capacity	TIM_R01015	R01015	0.000134			
enzyme capacity	GAP_R01061	R01061	0.00745			
enzyme capacity	PGK_R01512	R01512	0.00271			
enzyme capacity	PGM_R01518	R01518	0.00178			
enzyme capacity	PGH_R00658	R00658	0.00477			
enzyme capacity	PYK_R00200	R00200	0.0026			
enzyme capacity	PDH_R00209	R00209	0.00464			
enzyme capacity	ZWF_R00835	R00835	0.000972			
enzyme capacity	GLH_R02035	R02035	0.000326			
enzyme capacity	PGD_R01528	R01528	0.000653			
enzyme capacity	RPI_R01056	R01056	3.67e-05			
enzyme capacity	RPE_R01529	R01529	6.13e-05			
enzyme capacity	TXT_R01641	R01641	0.00103			
enzyme capacity	TAL_R08575	R08575	0.00682			
enzyme capacity	TXT_R01067	R01067	0.000406			
enzyme capacity	FBP_R00762	R00762	0			
enzyme capacity	CSN_R00351	R00351	3.14e-05			
enzyme capacity	ACN_R01325	R01325	0.0449			
enzyme capacity	ACN_R01900	R01900	0.0464			
enzyme capacity	ICD_R00709	R00709	0.000298			
enzyme capacity	KGD_R08549	R08549	8.04e-05			
enzyme capacity	SCS_R00405	R00405	0.000876			
enzyme capacity	SDH_R02164	R02164	0.000418			
enzyme capacity	FUM_R01082	R01082	0.000236			
enzyme capacity	MDH_R00342	R00342	7.51e-05			
enzyme capacity	PPC_R00345	R00345	9.2e-05			
%						
!!SBtab DocumentName='E. coli central carbon metabolism - ECM result' TableType='Quantity' TableName='Predicted energetic efficiencies' Document='ECM metabolic state' Unit='kJ/mol' SBtabVersion='1.0'						
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	emc3sp			
energetic efficiency	PTS_RPTSsy	RPTSsy	1			
energetic efficiency	PGI_R02740	R02740	0.834			
energetic efficiency	PFK_R04779	R04779	0.993			
energetic efficiency	ALD_R01070	R01070	0.796			
energetic efficiency	TIM_R01015	R01015	0.297			
energetic efficiency	GAP_R01061	R01061	0.628			
energetic efficiency	PGK_R01512	R01512	0.928			
energetic efficiency	PGM_R01518	R01518	0.656			
energetic efficiency	PGH_R00658	R00658	0.889			
energetic efficiency	PYK_R00200	R00200	1			
energetic efficiency	PDH_R00209	R00209	1			
energetic efficiency	ZWF_R00835	R00835	0.986			
energetic efficiency	GLH_R02035	R02035	1			
energetic efficiency	PGD_R01528	R01528	0.986			
energetic efficiency	RPI_R01056	R01056	0.397			
energetic efficiency	RPE_R01529	R01529	0.414			
energetic efficiency	TXT_R01641	R01641	0.961			
energetic efficiency	TAL_R08575	R08575	0.85			
energetic efficiency	TXT_R01067	R01067	0.999			
energetic efficiency	FBP_R00762	R00762	NaN			
energetic efficiency	CSN_R00351	R00351	1			
energetic efficiency	ACN_R01325	R01325	0.724			
energetic efficiency	ACN_R01900	R01900	0.833			
energetic efficiency	ICD_R00709	R00709	1			
energetic efficiency	KGD_R08549	R08549	1			
energetic efficiency	SCS_R00405	R00405	0.869			
energetic efficiency	SDH_R02164	R02164	1			
energetic efficiency	FUM_R01082	R01082	0.426			
energetic efficiency	MDH_R00342	R00342	0.132			
energetic efficiency	PPC_R00345	R00345	1			
%						
!!SBtab DocumentName='E. coli central carbon metabolism - ECM result' TableType='Quantity' TableName='Predicted saturation efficiencies' Document='ECM metabolic state' Unit='kJ/mol' SBtabVersion='1.0'						
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	emc3sp			
saturation efficiency	PTS_RPTSsy	RPTSsy	0.978			
saturation efficiency	PGI_R02740	R02740	0.495			
saturation efficiency	PFK_R04779	R04779	0.119			
saturation efficiency	ALD_R01070	R01070	0.515			
saturation efficiency	TIM_R01015	R01015	0.0414			
saturation efficiency	GAP_R01061	R01061	0.5			
saturation efficiency	PGK_R01512	R01512	0.788			
saturation efficiency	PGM_R01518	R01518	0.127			
saturation efficiency	PGH_R00658	R00658	0.172			
saturation efficiency	PYK_R00200	R00200	0.271			
saturation efficiency	PDH_R00209	R00209	1			
saturation efficiency	ZWF_R00835	R00835	0.991			
saturation efficiency	GLH_R02035	R02035	0.635			
saturation efficiency	PGD_R01528	R01528	0.936			
saturation efficiency	RPI_R01056	R01056	0.0839			
saturation efficiency	RPE_R01529	R01529	0.114			
saturation efficiency	TXT_R01641	R01641	0.0959			
saturation efficiency	TAL_R08575	R08575	0.414			
saturation efficiency	TXT_R01067	R01067	0.0649			
saturation efficiency	FBP_R00762	R00762	NaN			
saturation efficiency	CSN_R00351	R00351	0.649			
saturation efficiency	ACN_R01325	R01325	0.811			
saturation efficiency	ACN_R01900	R01900	0.719			
saturation efficiency	ICD_R00709	R00709	0.587			
saturation efficiency	KGD_R08549	R08549	0.995			
saturation efficiency	SCS_R00405	R00405	0.48			
saturation efficiency	SDH_R02164	R02164	0.869			
saturation efficiency	FUM_R01082	R01082	0.218			
saturation efficiency	MDH_R00342	R00342	0.228			
saturation efficiency	PPC_R00345	R00345	0.404			
